time;SPEED;SPEED_filter
15.13;0.0;0.0
15.14;0.0;0.0
15.15;0.0;0.0
15.16;0.0;0.0
15.17;0.0;0.0
15.18;0.0;0.0
15.19;0.0;0.0
15.200000000000001;0.0;0.0
15.21;0.0;0.0
15.22;0.0;0.0
15.23;0.0;0.0
15.24;0.0;0.0
15.25;0.0;0.0
15.26;0.0;0.0
15.27;0.0;0.0
15.280000000000001;0.0;0.0
15.290000000000001;0.0;0.0
15.3;0.0;0.0
15.31;0.0;0.0
15.32;0.0;0.0
15.33;0.0;0.0
15.34;0.0;0.0
15.35;0.0;0.0
15.36;0.0;0.0
15.370000000000001;0.0;0.0
15.38;0.0;0.0
15.39;0.0;0.0
15.4;0.0;0.0
15.41;0.0;0.0
15.42;0.0;0.0
15.43;0.0;0.0
15.44;0.0;0.0
15.450000000000001;0.0;0.0
15.46;0.0;0.0
15.47;0.0;0.0
15.48;0.0;0.0
15.49;0.0;0.0
15.5;0.0;0.0
15.51;0.0;0.0
15.52;0.0;0.0
15.530000000000001;2.5000000000000533;0.25000000000000533
15.540000000000001;2.5000000000000533;0.5000000000000107
15.55;5.000000000000107;1.0000000000000213
15.56;5.000000000000108;1.5000000000000322
15.57;7.500000000000158;2.250000000000048
15.58;5.000000000000108;2.750000000000059
15.59;10.000000000000211;3.7500000000000795
15.6;4.999999999999223;4.250000000000002
15.610000000000001;10.000000000000211;5.250000000000023
15.620000000000001;7.500000000000167;6.00000000000004
15.63;10.000000000000211;6.750000000000055
15.64;10.000000000000211;7.500000000000073
15.65;10.000000000000211;8.000000000000082
15.66;10.000000000000211;8.500000000000092
15.67;12.500000000000266;9.000000000000103
15.68;10.000000000000222;9.500000000000115
15.69;12.499999999998046;9.749999999999899
15.700000000000001;10.000000000000222;10.249999999999996
15.71;12.500000000000266;10.500000000000004
15.72;12.500000000000266;11.000000000000014
15.73;12.500000000000266;11.25000000000002
15.74;12.500000000000266;11.500000000000025
15.75;12.500000000000266;11.75000000000003
15.76;10.000000000000222;11.750000000000032
15.77;12.499999999998046;11.74999999999981
15.780000000000001;12.500000000000266;11.999999999999813
15.790000000000001;10.000000000000222;11.750000000000032
15.8;10.000000000000178;11.750000000000027
15.81;10.000000000000222;11.500000000000023
15.82;10.000000000000222;11.250000000000018
15.83;10.000000000000222;11.000000000000014
15.84;12.500000000000266;11.000000000000014
15.85;9.999999999998446;10.749999999999831
15.860000000000001;10.000000000000178;10.749999999999826
15.870000000000001;10.000000000000222;10.500000000000044
15.88;10.000000000000222;10.250000000000039
15.89;10.000000000000222;10.250000000000039
15.9;10.000000000000222;10.250000000000044
15.91;7.500000000000133;10.000000000000036
15.92;7.500000000000178;9.750000000000032
15.93;7.500000000000133;9.500000000000023
15.94;7.499999999998845;8.99999999999988
15.950000000000001;5.000000000000089;8.500000000000046
15.96;5.000000000000089;8.000000000000036
15.97;5.000000000000178;7.500000000000031
15.98;7.500000000000089;7.250000000000017
15.99;5.000000000000178;6.750000000000014
16.0;4.999999999999201;6.24999999999991
16.01;12.500000000002487;6.7500000000001465
16.02;14.999999999997602;7.499999999999889
16.03;22.50000000000453;9.000000000000329
16.04;24.999999999996092;10.750000000000053
16.05;30.00000000000595;13.25000000000064
16.06;27.499999999995737;15.500000000000204
16.07;24.999999999996092;17.499999999999794
16.080000000000002;25.000000000004974;19.250000000000284
16.09;24.999999999996092;21.24999999999988
16.1;22.50000000000444;23.0000000000004
16.11;24.999999999996092;24.249999999999762
16.12;25.000000000004974;25.250000000000494
16.13;24.999999999996092;25.499999999999652
16.14;25.000000000004974;25.500000000000544
16.15;22.499999999996536;24.7499999999996
16.16;22.499999999996447;24.24999999999967
16.17;22.50000000000444;24.000000000000504
16.18;22.499999999996447;23.749999999999652
16.19;22.50000000000462;23.500000000000504
16.2;22.499999999996447;23.49999999999971
16.21;22.50000000000444;23.25000000000054
16.22;24.999999999996092;23.249999999999655
16.23;22.499999999996447;22.99999999999969
16.240000000000002;22.50000000000462;22.749999999999652
16.25;22.499999999996447;22.749999999999645
16.26;22.50000000000444;22.750000000000444
16.27;19.999999999996803;22.49999999999968
16.28;22.50000000000462;22.500000000000497
16.29;22.499999999996447;22.49999999999968
16.3;22.50000000000444;22.50000000000048
16.31;24.999999999996092;22.749999999999645
16.32;22.499999999996447;22.49999999999968
16.330000000000002;22.50000000000444;22.500000000000476
16.34;22.499999999996625;22.49999999999968
16.35;22.50000000000444;22.50000000000048
16.36;19.999999999996803;22.249999999999716
16.37;22.50000000000444;22.50000000000048
16.38;19.99999999999698;22.249999999999716
16.39;22.50000000000444;22.25000000000052
16.4;24.999999999996092;22.49999999999968
16.41;22.499999999996447;22.249999999999716
16.42;22.50000000000444;22.250000000000515
16.43;19.99999999999698;21.99999999999977
16.44;22.50000000000444;22.000000000000547
16.45;19.999999999996803;21.749999999999787
16.46;22.50000000000462;22.00000000000057
16.47;19.999999999996803;21.749999999999805
16.48;22.499999999996447;21.99999999999975
16.490000000000002;22.50000000000444;21.99999999999975
16.5;22.499999999996625;21.749999999999805
16.51;20.000000000003908;21.50000000000055
16.52;19.999999999996803;21.249999999999787
16.53;20.000000000003908;21.25000000000048
16.54;22.499999999996625;21.249999999999698
16.55;20.000000000003908;21.25000000000041
16.56;17.499999999997335;20.74999999999968
16.57;19.999999999996803;20.74999999999968
16.580000000000002;22.50000000000462;20.750000000000497
16.59;19.999999999996803;20.499999999999734
16.6;22.50000000000462;20.500000000000533
16.61;17.49999999999698;20.24999999999984
16.62;17.500000000003553;20.00000000000052
16.63;17.499999999997335;19.749999999999858
16.64;15.000000000002842;19.00000000000048
16.65;17.499999999997335;18.749999999999822
16.66;14.999999999997868;18.499999999999876
16.67;15.000000000002842;18.00000000000048
16.68;14.999999999997513;17.24999999999977
16.69;17.500000000003553;17.000000000000448
16.7;14.999999999997868;16.24999999999977
16.71;17.500000000003553;16.250000000000426
16.72;14.999999999997513;15.99999999999982
16.73;12.499999999998046;15.499999999999892
16.740000000000002;12.500000000002487;15.249999999999858
16.75;14.999999999997513;14.999999999999876
16.76;10.000000000002132;14.500000000000302
16.77;12.499999999998046;14.249999999999824
16.78;12.500000000002487;14.000000000000322
16.79;12.499999999998046;13.499999999999769
16.8;10.000000000002132;13.000000000000195
16.81;9.999999999998224;12.249999999999662
16.82;9.999999999998579;11.749999999999769
16.830000000000002;12.500000000002487;11.750000000000213
16.84;9.999999999998224;11.499999999999787
16.85;10.000000000002132;11.000000000000249
16.86;12.499999999998046;11.24999999999984
16.87;10.000000000002132;11.000000000000249
16.88;9.999999999998224;10.749999999999822
16.89;10.000000000002132;10.500000000000231
16.9;7.4999999999987566;10.249999999999893
16.91;9.999999999998579;10.249999999999929
16.92;7.500000000001421;10.000000000000213
16.93;7.4999999999987566;9.49999999999984
16.94;7.500000000001421;9.25000000000016
16.95;7.4999999999987566;8.999999999999822
16.96;7.500000000001776;8.500000000000195
16.97;4.999999999998934;7.9999999999998765
16.98;7.499999999999112;7.7499999999999645
16.990000000000002;5.0000000000007105;7.249999999999822
17.0;7.499999999999112;7.249999999999858
17.01;5.0000000000007105;6.750000000000071
17.02;7.499999999999112;6.749999999999839
17.03;5.0000000000007105;6.5000000000000355
17.04;7.499999999999112;6.4999999999998055
17.05;5.0000000000007105;6.25
17.06;4.9999999999992895;5.999999999999751
17.07;4.9999999999992895;5.999999999999787
17.080000000000002;5.000000000001066;5.749999999999983
17.09;4.9999999999992895;5.749999999999841
17.1;5.0000000000007105;5.5
17.11;7.499999999999112;5.749999999999839
17.12;5.0000000000007105;5.5
17.13;4.9999999999992895;5.499999999999858
17.14;4.9999999999992895;5.249999999999875
17.150000000000002;5.000000000001066;5.24999999999991
